Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-08-30 00:00:00;Haywood County;179.0;106.0;1041.0;1147.0;54477.0;4360.0;3.0;1.0;11.0;12.0;142.0;44.0;2023;08
2023-08-30 00:00:00;Hertford County;14.0;7.0;130.0;137.0;16751.0;1360.0;-1.0;0.0;1.0;1.0;37.0;-6.0;2023;08
2023-08-30 00:00:00;Jackson County;103.0;82.0;642.0;724.0;30734.0;2785.0;11.0;-1.0;2.0;1.0;66.0;17.0;2023;08
2023-08-30 00:00:00;Mecklenburg County;10376.0;2836.0;19889.0;22725.0;732674.0;36076.0;539.0;106.0;459.0;565.0;3339.0;277.0;2023;08
2023-08-30 00:00:00;New Hanover County;1146.0;513.0;4650.0;5163.0;163736.0;8357.0;26.0;19.0;30.0;49.0;337.0;63.0;2023;08
2023-08-30 00:00:00;Stanly County;91.0;48.0;574.0;622.0;55748.0;5048.0;3.0;-1.0;5.0;4.0;236.0;54.0;2023;08
2023-08-30 00:00:00;Wake County;15016.0;3796.0;33957.0;37753.0;792324.0;36646.0;497.0;82.0;796.0;878.0;2666.0;114.0;2023;08
2023-08-30 00:00:00;Wilkes County;64.0;34.0;909.0;943.0;62837.0;5038.0;6.0;0.0;20.0;20.0;106.0;29.0;2023;08
2023-01-31 00:00:00;Alamance County;388.0;172.0;2490.0;2662.0;133177.0;7545.0;12.0;2.0;46.0;48.0;496.0;24.0;2023;01
2023-01-31 00:00:00;Ashe County;28.0;18.0;333.0;351.0;25711.0;2659.0;1.0;0.0;8.0;8.0;6.0;29.0;2023;01
2023-01-31 00:00:00;Brunswick County;421.0;231.0;2984.0;3215.0;130132.0;6042.0;22.0;9.0;30.0;39.0;826.0;35.0;2023;01
2023-01-31 00:00:00;Cherokee County;31.0;31.0;296.0;327.0;26084.0;2089.0;1.0;0.0;-2.0;-2.0;144.0;1.0;2023;01
2023-01-31 00:00:00;Chowan County;17.0;10.0;156.0;166.0;11858.0;1056.0;0.0;0.0;-2.0;-2.0;39.0;-1.0;2023;01
2023-01-31 00:00:00;Clay County;19.0;26.0;198.0;224.0;10774.0;942.0;-2.0;3.0;3.0;6.0;72.0;9.0;2023;01
2023-01-31 00:00:00;Davie County;103.0;51.0;714.0;765.0;39912.0;3421.0;0.0;0.0;15.0;15.0;200.0;16.0;2023;01
2023-01-31 00:00:00;Franklin County;136.0;73.0;962.0;1035.0;56626.0;3781.0;0.0;7.0;0.0;7.0;167.0;20.0;2023;01
2023-01-31 00:00:00;Henderson County;359.0;201.0;2586.0;2787.0;96683.0;6555.0;14.0;0.0;35.0;35.0;395.0;40.0;2023;01
2023-01-31 00:00:00;Jones County;6.0;5.0;77.0;82.0;8456.0;751.0;0.0;0.0;3.0;3.0;34.0;8.0;2023;01
2023-01-31 00:00:00;Macon County;97.0;58.0;469.0;527.0;32587.0;3026.0;4.0;4.0;5.0;9.0;58.0;25.0;2023;01
2023-01-31 00:00:00;McDowell County;79.0;46.0;481.0;527.0;39925.0;2770.0;3.0;3.0;2.0;5.0;55.0;-5.0;2023;01
2023-01-31 00:00:00;New Hanover County;947.0;432.0;4348.0;4780.0;161681.0;8012.0;39.0;15.0;78.0;93.0;854.0;164.0;2023;01
2023-01-31 00:00:00;Onslow County;269.0;175.0;2418.0;2593.0;130523.0;7571.0;5.0;1.0;48.0;49.0;1009.0;4.0;2023;01
